Rank,Name,Company,Volume,Sides,City,State
112,Mike Domer,Compass,$172.36M,53,Scottsdale,AZ
113,Piper Yerks,"Washington Fine Properties, LLC",$171.65M,28,McLean,VA
114,Tara Foster-Shapiro,Coldwell Banker Realty,$171.33M,22,Newport Beach,CA
115,Laura Bertolacci,Christie's International Real Estate Sereno,$170.12M,62,San Carlos,CA
116,Spencer Schlager,Douglas Elliman,$169.39M,15,Palm Beach,FL
117,Shelton Wilder,Christie's International Real Estate Southern California,$169.39M,55,Los Angeles,CA
118,Adam Kaufman,Howard Hanna Real Estate Services,$168.26M,188,Pepper Pike,OH
119,Bryan Gerlach,Engel & Völkers Dana Point,$167.97M,29.2,Dana Point,CA
120,Robertson Allen,The Cassina Group,$167.95M,33.5,Charleston,SC
121,Ann Lenane,Douglas Elliman,$167.74M,52,New York,NY
122,Dennis Carvajal,ONE Sotheby's International Realty,$167.69M,30.5,Coral Gables,FL
123,Jenn Gilson,Golden Gate Sotheby's International Realty,$167.55M,38,Burlingame,CA
124,Stephen Hachey,Flat Fee MLS Realty,$167.54M,344,Riverview,FL
125,Gary Mercer Sr,Keller Williams,$167.35M,241,West Chester,PA
126,Lex Tarumianz,Aspen Snowmass Sotheby's International Realty,$166.91M,21.7,Aspen,CO
127,Ryan Gunderson,Arbor Real Estate,$166.61M,30,Newport Beach,CA
128,David Offer,Berkshire Hathaway HomeServices California Properties,$166.36M,22,Los Angeles,CA
129,Matilde Sorensen,Dale Sorensen Real Estate,$165.57M,46,Vero Beach,FL
130,Anson Ip,Compass,$165.28M,60,Cupertino,CA
131,Chandra Miller,Maury People Sotheby's International Realty,$164.95M,39,Nantucket,MA
132,Cooper Mount,Carolwood Estates,$164.00M,16,Beverly Hills,CA
133,Rob Johnson,Brown Harris Stevens,$163.50M,28,Greenwich,CT
134,Paul Benson,Engel & Völkers Park City,$162.94M,20.7,Park City,UT
135,Hugh Cornish,Coldwell Banker Realty,$162.39M,24.7,Menlo Park,CA
